id,frag1,frag2,new_smiles
224,*C(=O)Cc1ccc(O)c(OC)c1,*C(=O)[C@H](CC(C)C)NC(=O)c1cc2ccccc2s1,COc1cc(CC(=O)C(=O)[C@H](CC(C)C)NC(=O)c2cc3ccccc3s2)ccc1O
225,*n1ccc2c(OC(C)(C)C(=O)O)cccc21,*N1CC(C(=O)[O-])C1,CC(C)(Oc1cccc2c1ccn2N1CC(C(=O)[O-])C1)C(=O)O
226,*CCCCC(=O)OC[C@@H](O)CO,*[C@H]1CCc2cc(-c3ccccc3-c3nnn[nH]3)ccc21,O=C(CCCC[C@H]1CCc2cc(-c3ccccc3-c3nnn[nH]3)ccc21)OC[C@@H](O)CO
227,*N[C@H]1CCC[C@@H](n2c(-c3ccccn3)nc3cc(C(=O)NC)ccc32)C1,*CCCC(=O)O,CNC(=O)c1ccc2c(c1)nc(-c1ccccn1)n2[C@@H]1CCC[C@H](NCCCC(=O)O)C1
228,*c1ccccn1,*C(=O)CCC,CCCC(=O)c1ccccn1
229,*c1ccccc1-c1noc(=O)[nH]1,*CCC=CCC=CCCCC(=O)O,O=C(O)CCCC=CCC=CCCc1ccccc1-c1noc(=O)[nH]1
230,*CCCCC(=O)[O-],*[C@H]1CCc2cc(-c3ccccc3-c3nnn[nH]3)ccc21,O=C([O-])CCCC[C@H]1CCc2cc(-c3ccccc3-c3nnn[nH]3)ccc21
231,*Cc1ccccc1,*C(=O)c1ccc(Br)s1,O=C(Cc1ccccc1)c1ccc(Br)s1
232,*CCC=CCCCC(=O)OC[C@@H](O)CO,*c1c(Cl)cccc1Cl,O=C(CCCC=CCCc1c(Cl)cccc1Cl)OC[C@@H](O)CO
233,*n1ccnc1C,*CCOCCOCCOCCOCCOCCOCC,CCOCCOCCOCCOCCOCCOCCn1ccnc1C
234,*O,*C(=O)[C@H](CO)NC(=O)Cc1ccc(CCCCn2ccnc2C)cc1,Cc1nccn1CCCCc1ccc(CC(=O)N[C@@H](CO)C(=O)O)cc1
235,*CCOCCO,*NCCC(=O)NCCSC(=O)CCCCCCCC,CCCCCCCCC(=O)SCCNC(=O)CCNCCOCCO
236,*[C@H]1O[C@H](CO)C[C@H](O)[C@H]1O,*CCCC(=O)O,O=C(O)CCC[C@H]1O[C@H](CO)C[C@H](O)[C@H]1O
237,*C[C@@H](O)CO,*N1CC(C(=O)[O-])C1,O=C([O-])C1CN(C[C@@H](O)CO)C1
238,*Cc1cccc(OCc2cc(-c3ccsc3)cs2)c1,*CCO,OCCCc1cccc(OCc2cc(-c3ccsc3)cs2)c1
239,*OC[C@@H](O)CO,*NC,CNOC[C@@H](O)CO
240,*CCCn1ccc2c(OC(C)(C)C(=O)O)cccc21,*C[C@@H]1[C@@H](CC=CCCCC(=O)[O-])[C@@H]2C[C@H]1OO2,CC(C)(Oc1cccc2c1ccn2CCCC[C@@H]1[C@@H](CC=CCCCC(=O)[O-])[C@@H]2C[C@H]1OO2)C(=O)O
241,*CC(C)C,*c1ccc(C(=O)N[C@H](C(=O)NC)C(C)C)o1,CNC(=O)[C@@H](NC(=O)c1ccc(CC(C)C)o1)C(C)C
242,*C(O)CC1CCC(O)C(OC)C1,*C(=O)Nc1cccc2ccccc12,COC1CC(CC(O)C(=O)Nc2cccc3ccccc23)CCC1O
243,*C[C@H](O)CO,*[C@@H]1O[C@H](C)C[C@H](N(C)C)[C@H]1O,C[C@@H]1C[C@H](N(C)C)[C@@H](O)[C@H](C[C@H](O)CO)O1
244,*c1c(F)cccc1Cl,*CCC=CCC=CCCC(=O)O,O=C(O)CCC=CCC=CCCc1c(F)cccc1Cl
245,*c1nc2c(F)cccc2c(O)[n+]1-c1ccc(Oc2ccc(F)cc2)cc1,*C(C)(C)C(=O)O,CC(C)(C(=O)O)c1nc2c(F)cccc2c(O)[n+]1-c1ccc(Oc2ccc(F)cc2)cc1
246,*N[C@H]1CCC[C@@H](n2c(-c3ccccn3)nc3cc(C(=O)NC)ccc32)C1,*CCC=CCC,CCC=CCCN[C@H]1CCC[C@@H](n2c(-c3ccccn3)nc3cc(C(=O)NC)ccc32)C1
247,*c1ccc(-[n+]2c(N3CCN(C)CC3)nc3c(F)cccc3c2O)cc1,*C[C@@H](O)COP(=O)(O)O,CN1CCN(c2nc3c(F)cccc3c(O)[n+]2-c2ccc(C[C@@H](O)COP(=O)(O)O)cc2)CC1
248,*C(=O)c1ccc(-c2ccc(NC(=O)c3cc4ccccc4o3)cc2)o1,*C(C)=O,CC(=O)C(=O)c1ccc(-c2ccc(NC(=O)c3cc4ccccc4o3)cc2)o1
