id,frag1,frag2,new_smiles
3509,*C(=O)c1cccc(-c2cnn(C)c2)n1,*c1ccc(F)c(F)c1F,Cn1cc(-c2cccc(C(=O)c3ccc(F)c(F)c3F)n2)cn1
3510,*[C@H](C)c1nc2c(cnn2C2CCCC2)c(=O)[nH]1,*N1CCN(c2ncnc3sc(CCF)cc23)CC1,C[C@H](c1nc2c(cnn2C2CCCC2)c(=O)[nH]1)N1CCN(c2ncnc3sc(CCF)cc23)CC1
3511,*c1ccc2c(c1)c(C(=O)N[C@@H](C)c1ccccc1)cn2C,*Cc1c[nH]c2c(=O)[nH]c(N)nc12,C[C@H](NC(=O)c1cn(C)c2ccc(Cc3c[nH]c4c(=O)[nH]c(N)nc34)cc12)c1ccccc1
3512,*c1c2c(nc3cc(Cl)ccc13)CCCC2,*c1nc2c(cnn2C2CCCC2)c(=O)[nH]1,O=c1[nH]c(-c2c3c(nc4cc(Cl)ccc24)CCCC3)nc2c1cnn2C1CCCC1
3513,*C(=O)c1cccnc1,*c1ccnc(Nc2ccc(-[n+]3cc[n+](C)cc3)cc2)n1,C[n+]1cc[n+](-c2ccc(Nc3nccc(C(=O)c4cccnc4)n3)cc2)cc1
3514,*N1CCC[C@H]1CN,*C(=O)c1ccccc1,NC[C@@H]1CCCN1C(=O)c1ccccc1
3515,*N1CCC[C@H]1C(=O)O,*N1CCN(c2ncnc3sc(CCF)cc23)CC1,O=C(O)[C@@H]1CCCN1N1CCN(c2ncnc3sc(CCF)cc23)CC1
3516,*C(=O)C(C#N)=Cc1ccc2c[nH]nc2c1,*C(=O)C=Cc1ccccc1,N#CC(=Cc1ccc2c[nH]nc2c1)C(=O)C(=O)C=Cc1ccccc1
3517,*Nc1cccc(C(F)(F)F)c1,*C(=O)Cc1ccc(OC(F)(F)F)cc1,O=C(Cc1ccc(OC(F)(F)F)cc1)Nc1cccc(C(F)(F)F)c1
3518,*C1=NCC(C)(C)S1,*C(=O)C=C[C@@H](C)C[C@@H](C)CC,CC[C@H](C)C[C@H](C)C=CC(=O)C1=NCC(C)(C)S1
3519,*N1CCc2ccccc2C1,*Nc1ccc(C)c(Nc2nccc(-c3cccnc3)n2)c1,Cc1ccc(NN2CCc3ccccc3C2)cc1Nc1nccc(-c2cccnc2)n1
3520,*CC(=O)NCC(F)(F)F,*C[C@H](O)CO,O=C(CC[C@H](O)CO)NCC(F)(F)F
3521,*n1c(CCCC(=O)[O-])cc2cc(Cl)ccc21,*CCNC(=O)C(C#N)=Cc1ccc2c[nH]nc2c1,N#CC(=Cc1ccc2c[nH]nc2c1)C(=O)NCCn1c(CCCC(=O)[O-])cc2cc(Cl)ccc21
3522,*c1ccc(CC(=O)N2CC[C@H](Oc3ncc(-c4cn(C)cn4)cc3C(N)=O)[C@H](F)C2)cc1,*NC,CNc1ccc(CC(=O)N2CC[C@H](Oc3ncc(-c4cn(C)cn4)cc3C(N)=O)[C@H](F)C2)cc1
3523,*c1ccc(OC)cc1,*[C@H](C)c1ccc(Cl)cc1,COc1ccc([C@H](C)c2ccc(Cl)cc2)cc1
3524,*CCC(CO)CO,*c1ncnc2sc(CCC)cc12,CCCc1cc2c(CCC(CO)CO)ncnc2s1
3525,*N1CCN(CC)CC1,*c1cnn2cc(-c3ccc(N4CCNCC4)cc3)cnc12,CCN1CCN(c2cnn3cc(-c4ccc(N5CCNCC5)cc4)cnc23)CC1
3526,*C(=O)C(=C)C[SeH],*c1cc(F)c2nc(C)n(C(C)C)c2c1,C=C(C[SeH])C(=O)c1cc(F)c2nc(C)n(C(C)C)c2c1
3527,*c1ccccc1C,*OCC,CCOc1ccccc1C
