id,frag1,frag2,new_smiles
169,*CCOCCOCCO,*CCOCCOCCOCC,CCOCCOCCOCCCCOCCOCCO
170,*CCNc1c(NCCCCCCO)c(=O)c1=O,*CCOCCOCC,CCOCCOCCCCNc1c(NCCCCCCO)c(=O)c1=O
171,*c1ccc(N(C)C)cc1,*CC[C@@H](N)C(=O)[O-],CN(C)c1ccc(CC[C@@H](N)C(=O)[O-])cc1
172,*[C@@H]1O[C@H](CO[P@H](=O)[O-])[C@@H](O)[C@@H]1F,*C(=O)c1ccccc1Nc1cccc(C)c1C,Cc1cccc(Nc2ccccc2C(=O)[C@@H]2O[C@H](CO[P@H](=O)[O-])[C@@H](O)[C@@H]2F)c1C
173,*C(C)=O,*c1sc2cc(C)ccc2[n+]1C,CC(=O)c1sc2cc(C)ccc2[n+]1C
174,*c1nnn[nH]1,*C(=O)COC,COCC(=O)c1nnn[nH]1
175,*c1sc2cc(C)ccc2[n+]1C,*[C@H]1C[C@H](O)[C@@H](CO[P@H](=O)[O-])O1,Cc1ccc2c(c1)sc([C@H]1C[C@H](O)[C@@H](CO[P@H](=O)[O-])O1)[n+]2C
176,*C(=O)[C@@H](N)C[C@@H](N)Cc1ccccc1,*CCO,N[C@@H](Cc1ccccc1)C[C@H](N)C(=O)CCO
177,*c1sc2cc(C)ccc2[n+]1C,*CCOCCO,Cc1ccc2c(c1)sc(CCOCCO)[n+]2C
178,*CCOCCOCCOCCOCCOCCOCCOCC,*CCS,CCOCCOCCOCCOCCOCCOCCOCCCCS
179,*n1c[n+](Cc2ccccc2)c2c(=O)[nH]c(N)nc21,*CCOCCOCCOCCO,Nc1nc2c(c(=O)[nH]1)[n+](Cc1ccccc1)cn2CCOCCOCCOCCO
180,*C(=O)c1ccnc2[nH]c(O)nc12,*OC,COC(=O)c1ccnc2[nH]c(O)nc12
181,*c1ccccc1C(=O)O,*N1CCO[C@H](C)C1,C[C@@H]1CN(c2ccccc2C(=O)O)CCO1
182,*CC[C@@H](N)C(=O)[O-],*CCOCCOCCOC,COCCOCCOCCCC[C@@H](N)C(=O)[O-]
183,*O,*c1cccc(C)c1C,Cc1cccc(O)c1C
184,*CCOCCOCC,*C(=O)c1ccc(S)cc1,CCOCCOCCC(=O)c1ccc(S)cc1
185,*n1c2c([n+](CCOC)c1C)C(=O)c1ccccc1C2=O,*O,COCC[n+]1c2c(n(O)c1C)C(=O)c1ccccc1C2=O
186,*CCOCCOCCOCCOCCOCC,*C(=O)COC,CCOCCOCCOCCOCCOCCC(=O)COC
187,*CCOC,*CCCCCCO,COCCCCCCCCO
188,*n1cnc2c(N)nccc21,*CCOCCOCCOCCOC,COCCOCCOCCOCCn1cnc2c(N)nccc21
189,*c1sc2cc(C)ccc2[n+]1C,*c1c(NCCCCCCO)c(=O)c1=O,Cc1ccc2c(c1)sc(-c1c(NCCCCCCO)c(=O)c1=O)[n+]2C
190,*C=O,*[C@@H]1CC(O)=C(CO[P@@H](=O)[O-])O1,O=C[C@@H]1CC(O)=C(CO[P@@H](=O)[O-])O1
191,*C(=O)c1ccccc1Nc1cccc(C)c1C,*n1cccn1,Cc1cccc(Nc2ccccc2C(=O)n2cccn2)c1C
