id,frag1,frag2,new_smiles
105,*N1CCCc2cc(CNC(=O)c3ccc(Cl)cc3)ccc21,*N1C[C@@H](C)O[C@@H](C)C1,C[C@@H]1CN(N2CCCc3cc(CNC(=O)c4ccc(Cl)cc4)ccc32)C[C@H](C)O1
106,*[C@@H]1O[C@H](CN2CCCC23CCNCC3)[C@@H](O)[C@H]1O,*c1ncn[nH]1,O[C@@H]1[C@H](O)[C@@H](CN2CCCC23CCNCC3)O[C@H]1c1ncn[nH]1
107,*N[C@@H](CCSC)C(=O)O,*N1C[C@@](C)(O)CO1,CSCC[C@H](NN1C[C@@](C)(O)CO1)C(=O)O
108,*CCOc1ccc(C[C@H](OCC)C(=O)[O-])cc1,*CCCN(C)C,CCO[C@@H](Cc1ccc(OCCCCCN(C)C)cc1)C(=O)[O-]
109,*N(C)[C@H]1CC[C@H](c2ccncc2)CC1,*C(=O)CSc1nnc[nH]1,CN(C(=O)CSc1nnc[nH]1)[C@H]1CC[C@H](c2ccncc2)CC1
110,*NCCC,*NCCSC(=O)CCCCCCC,CCCCCCCC(=O)SCCNNCCC
111,*C1CCN(C(=O)OC(C)C)CC1,*C(C)CCC=C(C)C,CC(C)=CCCC(C)C1CCN(C(=O)OC(C)C)CC1
112,*C(=O)CC(F)(F)F,*NCc1cccc(CO[C@@H]2CCC[C@@H]2NC(=O)[C@H](C#N)CC(C)(C)C)c1,CC(C)(C)C[C@@H](C#N)C(=O)N[C@H]1CCC[C@H]1OCc1cccc(CNC(=O)CC(F)(F)F)c1
113,*C(=O)C1CCS(=O)(=O)CC1,*c1cccc(CN(CC)CC=CC#CC(C)(C)C)c1,CCN(CC=CC#CC(C)(C)C)Cc1cccc(C(=O)C2CCS(=O)(=O)CC2)c1
114,*CC=C(C)C=CC1=C(C)CCCC1(C)C,*C(=O)OC,COC(=O)CC=C(C)C=CC1=C(C)CCCC1(C)C
115,*c1cccc(-c2ccc([C@H](C)C(=O)[O-])cc2F)c1,*N[C@H](C(=O)NC)C(C)C,CNC(=O)[C@@H](Nc1cccc(-c2ccc([C@H](C)C(=O)[O-])cc2F)c1)C(C)C
116,*NN1CCCCC1,*C=O,O=CNN1CCCCC1
117,*C1CCN(C2CCOCC2)CC1,*n1nc(-c2cccs2)cc1NS(=O)(=O)c1cccc(F)c1,O=S(=O)(Nc1cc(-c2cccs2)nn1C1CCN(C2CCOCC2)CC1)c1cccc(F)c1
118,*N[C@@H](Cc1c[nH]c2ccccc12)C(=O)[O-],*N(C)[C@H](C)CCO,C[C@H](CCO)N(C)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)[O-]
119,*O[C@@H]1CCCNC[C@H]1NC(=O)c1ccc(O)cc1,*c1ccccc1-c1nnn[nH]1,O=C(N[C@@H]1CNCCC[C@H]1Oc1ccccc1-c1nnn[nH]1)c1ccc(O)cc1
120,*Nc1ccc(C#N)c(I)c1,*N[C@]12C[C@]([C@H](C)C(=O)Nc3ccc(F)cc3)(C1)C2,C[C@H](C(=O)Nc1ccc(F)cc1)[C@]12C[C@](NNc3ccc(C#N)c(I)c3)(C1)C2
121,*C(=O)C(C)C,*N(CC(C)C)[C@H]1CCCNC1,CC(C)CN(C(=O)C(C)C)[C@H]1CCCNC1
122,*Cc1cc(C)ccc1C,*c1cnc(C(F)(F)F)cc1CO,Cc1ccc(C)c(Cc2cnc(C(F)(F)F)cc2CO)c1
123,*CCOCCO,*S(=O)(=O)c1ccc(N[C@H](CCN(C)C)CSc2ccccc2)c([N+](=O)[O-])c1,CN(C)CC[C@H](CSc1ccccc1)Nc1ccc(S(=O)(=O)CCOCCO)cc1[N+](=O)[O-]
124,*S(=O)(=O)c1ccc(Cl)cc1Cl,*C1C(=O)Nc2ccc(F)cc21,O=C1Nc2ccc(F)cc2C1S(=O)(=O)c1ccc(Cl)cc1Cl
125,*c1ncnc2cc(C(N)=O)sc12,*c1ccc([C@@H](C)C(=O)O)cc1F,C[C@@H](C(=O)O)c1ccc(-c2ncnc3cc(C(N)=O)sc23)c(F)c1
126,*C(=O)c1cnc2ccccc2c1,*c1ccc(C(F)(F)F)cc1,O=C(c1ccc(C(F)(F)F)cc1)c1cnc2ccccc2c1
127,*C(=O)C1=Cc2cc(Cl)cc(Cl)c2O[C@@H]1C(F)(F)F,*c1ccccc1-c1noc(=O)[nH]1,O=C(C1=Cc2cc(Cl)cc(Cl)c2O[C@@H]1C(F)(F)F)c1ccccc1-c1noc(=O)[nH]1
128,*n1ccc2c(C)ncnc21,*n1cnc(-c2ccccc2)c1CC(C)C,Cc1ncnc2c1ccn2-n1cnc(-c2ccccc2)c1CC(C)C
129,*n1c(=O)cc2sc(C(=O)OCc3ccccc3)cn2c1=O,*C(=O)CCC,CCCC(=O)n1c(=O)cc2sc(C(=O)OCc3ccccc3)cn2c1=O
130,*CCC=CC,*C(=O)c1ccccc1N,CC=CCCC(=O)c1ccccc1N
131,*Cc1cc(C)ccc1C,*n1cncn1,Cc1ccc(C)c(Cn2cncn2)c1
